Transaction  #,Transaction Date,Transaction Month,Transaction Year,Item  #,Style  #,Description,VendorModel1,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,Image Dir.,AvgWeight,Pay Codes,,
SO-10291074,46245,8,2026,ITEM,ITEM,REPLACE 18K JUMP RING | $55 DUE @ PICK UP,,,1,0,0,0,0,VJ-SOLANO,,,,,,0,,,
FA-10291476,46245,8,2026,ITEM,ITEM,APP/AJ,,,1,0,0,0,0,VJ-VAL,,,,,,0,"VJVF-IDEAL,",,
FA-10291476,46245,8,2026,217363,HAND PU BAG,JEWELRY HAND PU BAG,HAND PU BAG,TCI,1,13.2,399,399,0,VJ-VAL,MISC,,,,\HAND PU BAG.JPG,0,"VJVF-IDEAL,",,
FA-10291476,46245,8,2026,241433Y,JRS924246G4WXLBQ4-13,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND MARQUISE BRIDAL SET",JRS924246G4WXLBQ4,KMA,1,1275,17995,13995,4000,VJ-VAL,LADYS RING,NOVELLO,14KT,7,\240986.jpeg,7.75,"VJVF-IDEAL,",,
FA-10291476,46245,8,2026,ITEM,ITEM,IDDEAL/36/0,,,1,0,0,0,0,VJ-VAL,,,,,,0,"VJVF-IDEAL,",,
VL-10291164,46245,8,2026,225244-22,G 070 2L-2,"SILVER ""LINKNLOCK"" CURB CHAIN ( NO WARRANTY )",G 070 2L,COAR,1,49,196,0,196,VJ-LIV,SLVR CHAIN,LINKNLOCK,-,22,\225241-18.jpg,8.3,"VJL-CC,",,
CH-10002454,46245,8,2026,227665V,CO-MRF05001038-1,SILVER LABGROWN DIAMOND LOVE-SPELL VERMEIL PEAR HALO COMPOSITE RING ( NO WARRANTY ),CO-MRF05001038,MHVR,-1,50,-229,0,-229,VJ-CHAND,LADYS RING,LOVE,"""--""",7,\227665S.jpg,2.9,"VJCH-CC,",,
CH-10002454,46245,8,2026,217863,MRF02500379-3,"10KT""LABGROWN DIAMOND""  PROMISE RING",MRF02500379,MHVR,1,151,1699,1104.35,594.65,VJ-CHAND,LADYS RING,NOVELLO,ETERNAL-VOW,7,\184476.jpg,0,"VJCH-CC,",,
SR-10291402,46245,8,2026,216219,RPAB1/2-7,"14KT""LABGROWN DIAMOND""  ROUND-PRONG ANNIVERSARY BAND",RPAB1/2,JLX,1,349,3899,3117.18,781.82,VJ-S.ROSA,LADYS RING,NOVELLO,AB,7,\216219.jpeg,2.75,"VJSR-CASH,",,
VO-10292378,46245,8,2026,042429592667,98A302,BULOVA MARINE WATCH,98A302,BULOVA,1,344.37,725,126,599,VJ-OAK,BULOVA,WATCH,MENS,AUTOMATIC,\98A302.JPG,0,"VJO-CC,",,
VO-10292378,46245,8,2026,042429589360,98D176,BULOVA WATCH,98D176,BULOVA,1,330.12,695,195,500,VJ-OAK,BULOVA,WATCH,MENS,BATTERY,\SCREENSHOT 2022-01-18 172315.JPG,0,"VJO-CC,",,
GM-10293186,46245,8,2026,ITEM,ITEM,36MM SOLD FOR $5800.00 - 26MM SOLD FOR $4850,,,1,0,0,0,0,DBC-GM,,,,,,0,"GM-CASH,",,
GM-10293186,46245,8,2026,ITEM,ITEM,app/aj,,,1,0,0,0,0,DBC-GM,,,,,,0,"GM-CASH,",,
GM-10293186,46245,8,2026,ITEM,ITEM,SKU:- 236806 / PRE-OWNED ROLEX TT 26MM CHAMPAGNE OYSTER PERPETUAL WATCH,,,1,0,250,20,230,DBC-GM,,,,,,0,"GM-CASH,",,
GM-10293186,46245,8,2026,ITEM,ITEM,SKU:- 211613 / PRE-OWNED ROLEX 36MM TT CHAMPAGNE DATEJUST OYSTER PERPETUAL WATCH,,,1,0,250,25,225,DBC-GM,,,,,,0,"GM-CASH,",,
CH-10002456,46245,8,2026,8.89232E+11,GA2100GB-1A,G-SHOCK WATCH,GA2100GB-1A,G-SHOCK,1,72.5,145,15,130,VJ-CHAND,G-SHOCK,WATCH,,,\GA-2100GB-1A.tif,0,"VJCH-CC,",,
LO-10002448,46245,8,2026,238925,238925,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+MAR2.00,KRA,1,557,9995,7685.53,2309.47,VJ-LONG,LADYS RING,NOVELLO,SOL RING,2.00 CARAT,,0,,,
LO-10002448,46245,8,2026,ITEM,ITEM,#238925 14kt Novello Labgrown Diamond Ring,,,-1,0,-9995,-7685.53,-2309.47,VJ-LONG,,,,,,0,,,
ON-10292256,46245,8,2026,ITEM,ITEM,APP RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-KAFE,",,
ON-10292256,46245,8,2026,ITEM,ITEM,"10K FIEGRO 7"" #2349218.5",,,1,0,1950,0,1950,VJ-ONT,,,,,,0,"VJON-KAFE,",,
VV-10292331,46245,8,2026,ITEM,ITEM,"SPO 212858 10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND EVIL EYE PENDANT",,,1,0,1799,1338.17,460.83,VJ-VIS,,,,,,0,"VJV-CASH,",,
SR-10291400,46245,8,2026,ITEM,ITEM,LAB GROWN DIAMOND PRINCESS CUT RING,,,1,0,0,0,0,VJ-S.ROSA,,,,,,0,,,
SR-10291400,46245,8,2026,ITEM,ITEM,RESIZE RING TO SIZE 5.5,,,1,0,0,0,0,VJ-S.ROSA,,,,,,0,,,
SL-10294464,46245,8,2026,236689Y,MV250W-1,"14KT""OVANI-COLLECTION""  LABGROWN DIAMOND HIDDEN HALO RADIANT STUDS EARRINGS",MV250W,VSU,1,287,4099,2599,1500,DE-SOUTH,EARRINGS,OVANI,14KT,1.00 CARAT,\236689.jpg,1.5,"DES-IDDEAL,",,
SL-10294464,46245,8,2026,MLB-5Y-1500,MB,"Mulberry 60 Month Care Plan ($1,250-$1,499.99)",,,1,99.6,248.99,0,248.99,DE-SOUTH,,,,,,0,"DES-IDDEAL,",,
SR-10291401,46245,8,2026,230204S,MHS00039E-EMERALD,SILVER LABGROWN DIAMOND LOVE-SPELL 2.50CT EMERALD HALO EARRING,MHS00039E-EMERALD,MHVR,1,75,369,33.55,335.45,VJ-S.ROSA,BE,LOVE,EMERALD,BIRTHSTONE,\MHVR\MHS00039E-EMERALD-0.jpg,2.6,"VJSR-KAFE,",,
SR-10291401,46245,8,2026,230196S,MHS00039P-EMERALD,SILVER LABGROWN DIAMOND LOVE-SPELL 1.25CT EMERALD HALO PENDANT,MHS00039P-EMERALD,MHVR,1,47,329,29.9,299.1,VJ-S.ROSA,BP,LOVE,EMERALD,BIRTHSTONE,\MHVR\MHS00039P-EMERALD-0.jpg,1.15,"VJSR-KAFE,",,
VE-10293860,46245,8,2026,172117YW,RM-0447VA78W4-3,14KT PRINCESS GENTS RING,RM-0447VA78W4,HRSH,1,632,7499,5226.27,2272.73,VJ-EAST,GENTS RING,,,,\172117.jpg,8,"VJE-GE,",,
VE-10293860,46245,8,2026,ITEM,ITEM,ITEM:APP/AS   60/0 SYN,,,1,0,0,0,0,VJ-EAST,,,,,,0,"VJE-GE,",,
VE-10293862,46245,8,2026,230988,JRS90405EG4WXC0Q4-121,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND ROUND BRIDAL SET",JRS90405EG4WXC0Q4,KMA,-1,1540,-19995,-15146.06,-4848.94,VJ-EAST,LADYS RING,NOVELLO,14KT,7,\202970.jpg,9.5,,,
VE-10293862,46245,8,2026,202970Y,JRS90405EG4WXC0Q4-101,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND ROUND BRIDAL SET",JRS90405EG4WXC0Q4,KMA,1,1336,20995,16146.06,4848.94,VJ-EAST,LADYS RING,NOVELLO,14KT,7,\202970.jpg,9.5,,,
SL-10294465,46245,8,2026,7.31903E+11,YA1264136,GUCCI WATCH,YA1264136,GUCCI GROUP WATCHES.,1,753,1370,411,959,DE-SOUTH,GUCCI,WATCH,WOMEN,,\170467.JPG,0,"DES-CC,",,
VS-10292073,46245,8,2026,MLB-LT-500,MB,Mulberry Lifetime Care Plan ($400-$499.99),,,1,54.8,136.99,0,136.99,VJ-SERRA,,,,,,0,"VJS-CC,",,
VS-10292073,46245,8,2026,ITEM,ITEM,APP/AJ,,,1,0,0,0,0,VJ-SERRA,,,,,,0,"VJS-CC,",,
VS-10292073,46245,8,2026,237326Y,EVEBS100VK5W0-1,"10KT""UV-NOVELLO"" LABGROWN DIAMOND RBC SOLITIARE STUDS",EVEBS100VK5W0,HRSH,1,160,1899,1387.5,511.5,VJ-SERRA,EARRINGS,NOVELLO,SOL STUDS,1.00 CARAT,\SOLITAIRE EARRINGS.JPG,0,"VJS-CC,",,
SO-10291075,46245,8,2026,SLCF15014KY15,SLCF15014KY15,"""BENCHMARK"" 14KT-SUPER LIGHT GOLD BAND 5MM",SLCF15014KY15,BENCHMARK,1,500,2248,948,1300,VJ-SOLANO,GOLD BANDS,PLAIN,14KT,15,\SL3.JPG,0,,,
SO-10291075,46245,8,2026,ITEM,ITEM,14KT BENCHMARK GOLD BAND SLCF15014KY15 - SIZE 15,,,-1,0,-1300,0,-1300,VJ-SOLANO,,,,,,0,,,
ON-10292258,46245,8,2026,239642Y,MRF10001343-1,"10KT""LABGROWN DIAMOND""  PC CHANNEL MENS BAND",MRF10001343,MHVR,1,742,5995,4865.61,1129.39,VJ-ONT,GENTS RING,NOVELLO,10KT,10,\239642.jpg,4.7,"VJON-CC,",,
ON-10292258,46245,8,2026,235673Y,EVRB-12197VXA34W4-52,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND OVAL BRIDAL SET",EVRB-12197VXA34W4,HRSH,1,1070,12499,10373.22,2125.78,VJ-ONT,LADYS RING,NOVELLO,14KT,7,\224938.jpg,6.85,"VJON-CC,",,
ON-10292258,46245,8,2026,ITEM,ITEM,APP  RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-CC,",,
ON-10292258,46245,8,2026,MLB-LT-2500,MB,"Mulberry Lifetime Care Plan ($2,000-$2,499.99)",,,1,155.2,387.99,0,387.99,VJ-ONT,,,,,,0,"VJON-CC,",,
VL-10291166,46245,8,2026,218002Y,EVRG-0384VA44W4-1,"14KT ""LABGROWN DIAMOND""  ENHANCER",EVRG-0384VA44W4,HRSH,1,870,9699,6749,2950,VJ-LIV,LADYS RING,NOVELLO,ENHANCER,,\175349.jpg,7,"VJL-CC,",,
FA-10291477,46245,8,2026,ITEM,ITEM,APP/AJ,,,1,0,0,0,0,VJ-VAL,,,,,,0,"VJVF-SYCHY,",,
FA-10291477,46245,8,2026,ITEM,ITEM,SYNC/36/0,,,1,0,0,0,0,VJ-VAL,,,,,,0,"VJVF-SYCHY,",,
FA-10291477,46245,8,2026,242074,ER-ERBC2.00-11,"14KT""GIA-CERTIFIED""  RBC DIAMOND SOLITARE STUDS EARRINGS",ER-ERBC2.00,SHTL,1,3970,44995,35904.09,9090.91,VJ-VAL,EARRINGS,NATURAL,SOL STUDS,2.00 CARAT,,0,"VJVF-SYCHY,",,
VS-10292071,46245,8,2026,MLB-3Y-800,MB,Mulberry 36 Month Care Plan ($600-$799.99),,,1,46.8,116.99,0,116.99,VJ-SERRA,,,,,,0,"VJS-CC,",,
VS-10292071,46245,8,2026,ITEM,ITEM,APP/AJ,,,1,0,0,0,0,VJ-SERRA,,,,,,0,"VJS-CC,",,
VS-10292071,46245,8,2026,233078Y,JR149850HG4WXENQ4-6,"10KT""BELLA.BY.OVANI"" LABGROWN DIAMOND ROUND BRIDAL RING",JR149850HG4WXENQ4,KMA,1,248,2699,1986.36,712.64,VJ-SERRA,LADYS RING,BELLA OVAN,10KT,7,\223330.jpg,1.8,"VJS-CC,",,
BB-10000096,46245,8,2026,239450,239450,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND PC SOLITAIRE PENDANT",LGE+PC2.00,KRA,1,633,9995,7182,2813,VJ-BAY,PENDANT,NOVELLO,SOL PNDT,2.00 CARAT,,0,"BB - CC,",,
BB-10000096,46245,8,2026,ITEM,ITEM,APP CC3,,,1,0,0,0,0,VJ-BAY,,,,,,0,"BB - CC,",,
BB-10000096,46245,8,2026,198694,SFRG093,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND FANCY FLOWER BAND",SFRG093,SNFLR,1,956,12995,9341.49,3653.51,VJ-BAY,LADYS RING,NOVELLO,14KT,FLOWER,\198694.jpg,10.5,"BB - CC,",,
SR-10291408,46245,8,2026,216223,RPAB1/10-4,"14KT""LABGROWN DIAMOND""  ROUND-PRONG ANNIVERSARY BAND",RPAB1/10,JLX,1,141,1599,1110,489,VJ-S.ROSA,LADYS RING,NOVELLO,AB,7,\151554.jpg,1.15,"VJSR-CC,",,
BB-10000097,46245,8,2026,MLB-LT-5000,MB,"Mulberry Lifetime Care Plan ($4,000-$4,999.99)",,,1,238.8,596.99,0,596.99,VJ-BAY,,,,,,0,"BB-CASH,",,
BB-10000097,46245,8,2026,ITEM,ITEM,IDDEAL 36/0 - APP/AJ,,,-1,0,0,0,0,VJ-BAY,,,,,,0,"BB-CASH,",,
BB-10000097,46245,8,2026,MLB-LT-4000,MB,"Mulberry Lifetime Care Plan ($3,000-$3,999.99)",,,-1,208,-519.99,0,-519.99,VJ-BAY,,,,,,0,"BB-CASH,",,
BB-10000097,46245,8,2026,ITEM,ITEM,MAKE RING WITH EMERALD LAB GROWN CENTER,,,-1,0,0,0,0,VJ-BAY,,,,,,0,"BB-CASH,",,
BB-10000097,46245,8,2026,234764,MV071W,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND MARQUISE BRIDAL SET",MV071W,VSU,-1,1054,-13499,-9299,-4200,VJ-BAY,LADYS RING,NOVELLO,14KT,7,\MV071W.jpeg,6.5,"BB-CASH,",,
BB-10000097,46245,8,2026,ITEM,ITEM,MAKE RING IN STYLE OF 234764 BUT WITH EMRALD CENTER,,,1,0,4200,71.12,4128.88,VJ-BAY,,,,,,0,"BB-CASH,",,
BB-10000097,46245,8,2026,ITEM,ITEM,IDDEAL 36/0 APP AJ,,,1,0,0,0,0,VJ-BAY,,,,,,0,"BB-CASH,",,
SL-10294460,46245,8,2026,ITEM,ITEM,ITEM:SKU 220700:14KT YELLOW-GOLD CLOVER EARRINGS,,,1,0,1496,593.06,902.94,DE-SOUTH,,,,,,0,"DES-CC,",,
SL-10294460,46245,8,2026,ITEM,ITEM,ITEM:MAKE IT DANGLING LIKE REF SKU 232810,,,1,0,0,0,0,DE-SOUTH,,,,,,0,"DES-CC,",,
AR-10292090,46245,8,2026,ITEM,ITEM,IDDEAL 18/0 | APPTL1,,,1,0,0,0,0,VJ-ARDN,,,,,,0,"VJA-IDDEAL,",,
AR-10292090,46245,8,2026,215573,RL230175W,"14KT""LABGROWN DIAMOND""  ENHANCER",RL230175W,PNT,1,575,6599,5220.61,1378.39,VJ-ARDN,LADYS RING,NOVELLO,ENHANCER,7,\215573.jpg,4.6,"VJA-IDDEAL,",,
CH-10002455,46245,8,2026,231624V,MV067-SL-1,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN BRACELET VERMEIL PLATED (NO WARRANTY)",MV067-SL,VSU,1,502,999,0,999,VJ-CHAND,MENS BRCLT,NOVELLO,UV,CUBAN,\231624S.jpg,29,"VJCH-CC,VJCH-KAFE,",,
CH-10002455,46245,8,2026,231618V-9,MV064-SL-1,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN MENS RING VERMEIL PLATED (NO WARRANTY)",MV064-SL,VSU,1,183,399,0,399,VJ-CHAND,GENTS RING,NOVELLO,UV,CUBAN,\231618S.jpg,15,"VJCH-CC,VJCH-KAFE,",,
CH-10002455,46245,8,2026,ITEM,ITEM,SPO 231618v-11,,,1,0,0,0,0,VJ-CHAND,,,,,,0,"VJCH-CC,VJCH-KAFE,",,
VV-10292330,46245,8,2026,239135-16,TD025,"10KT ""ULTIMATE VALUE"" YELLOW-GOLD D/C ROPE CHAIN (NO WARRANTY)",TD025,OX,1,127,199,0,199,VJ-VIS,GOLD CHAIN,GOLD JEWL,10KT,16,\TD025.jpeg,1.9,"VJV-CASH,",,
