Transaction  #,Transaction Date,Transaction Month,Transaction Year,SKU  #,Style  #,Description,Vendor Model,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,
GM-10292976,6/30/2026,6,2026,237359-22,CPA100-1,"10KT ""ULTIMATE VALUE"" YELLOW-GOLD D/C CURB CHAIN",CPA100,OX,1,781,"1,129.00",0,"1,129.00",DBC-GM,GOLD CHAIN,GOLD JEWL,UV,22,
VM-10293038,7/1/2026,7,2026,169399,UKHI000100-2-5,14KT YELLOW-GOLD HLW CURB CHAIN (NO WARRANTY),UKHI000100-2,KGS,1,482,"2,410.00","1,192.60","1,217.40",VJ-MOD,GOLD CHAIN,GOLD JEWL,14KT,16,
VF-10292697,6/29/2026,6,2026,210456-9,301-10135-1,14KT YELLOW-GOLD HLW MONACO STYLE MIAMI CUBAN BRACELET,301-10135,SFCO,1,"2,296.00","11,480.00","6,314.00","5,166.00",VJ-FRE,GOLD ID,GOLD JEWL,14KT,9,
VF-10292697,6/29/2026,6,2026,15010KY12,15010KY12,"10KT ""BENCHMARK"" GOLD BAND 5MM TRADITIONAL OVAL",15010KY12,BENCHMARK,1,381,"1,715.00",871.29,843.71,VJ-FRE,GOLD BANDS,PLAIN,10KT,12,
VF-10292697,6/29/2026,6,2026,227454S,CO-MRF20001028,SILVER LABGROWN DIAMOND LOVE-SPELL  COMPOSITE RING,CO-MRF20001028,MHVR,1,145,729,0,729,VJ-FRE,LADYS RING,LOVE,"""--""",COMPOSITE,
VF-10292697,6/29/2026,6,2026,236909,MV148W,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND HIDDEN HALO OVAL BRIDAL SET",MV148W,VSU,1,"3,155.00","40,995.00","31,074.21","9,920.79",VJ-FRE,LADYS RING,OVANI,14KT,7,
GM-10292982,7/1/2026,7,2026,209300Y,UPF02380-050-COMP,"22KT""OVANI22""  ROUND BAGUETTE PENDANT",UPF02380-050-COMP,GM,1,"2,050.00","24,995.00","18,062.13","6,932.87",DBC-GM,PENDANT,OVANI,22KT,,
GM-10292982,7/1/2026,7,2026,236308,DATEJUST-TT-26MM-OLD-46,PRE-OWNED ROLEX TT 26MM CHAMPAGNE DATEJUST OYSTER PERPETUAL WATCH,DATEJUST-TT-26MM-OLD,APAN,1,"4,050.00","24,995.00","14,997.00","9,998.00",DBC-GM,ROLEX,WATCH,WOMEN,26,
VV-10292143,7/1/2026,7,2026,231601-24,KKJ6578-9,10KT TRICOLOR-GOLD VALENTINO CHAIN,KKJ6578,SFCO/KGS,1,891,"4,455.00","2,655.00","1,800.00",VJ-VIS,GOLD CHAIN,GOLD JEWL,10KT,24,
LO-10002289,6/30/2026,6,2026,231624V,MV067-SL-1,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN BRACELET VERMEIL PLATED (NO WARRANTY)",MV067-SL,VSU,1,502,"1,104.00",0,"1,104.00",VJ-LONG,MENS BRCLT,NOVELLO,UV,CUBAN,
VM-10293022,6/29/2026,6,2026,239191Y,MRF05001341-1,"10KT""LABGROWN DIAMOND""  RBC CHANNEL MENS BAND",MRF05001341,MHVR,1,569,"4,799.00","3,408.47","1,390.53",VJ-MOD,GENTS RING,NOVELLO,10KT,10,
AT-10290422,6/29/2026,6,2026,215512,EL200211W,"10KT""BELLA.BY.OVANI"" LABGROWN DIAMOND STUDS EARRINGS",EL200211W,PNT,1,79,899,598.55,300.45,VJ-S.ANITA,EARRINGS,BELLA OVAN,10KT,,
VL-10291015,6/30/2026,6,2026,177783Y,E71-P400518-1,14KT DIAMOND CROSS PENDANT,E71-P400518,EMNL,1,790,"8,999.00","6,902.85","2,096.15",VJ-LIV,PENDANT,,14KT,CROSS,
SL-10294132,7/1/2026,7,2026,217540-8.5,785-10140,14KT YELLOW-GOLD HLW CZ MIAMI CUBAN BRACELET,785-10140,SFCO,1,"2,834.00","14,170.00","7,397.99","6,772.01",DE-SOUTH,GOLD ID,GOLD JEWL,14KT,8.5,
AR-10291935,6/29/2026,6,2026,229714,ORAG34120,SILVER LOVE-SPELL D/C HOOPS EARRINGS ( NO WARRANTY ),ORAG34120,LGTS,1,17,68,0,68,VJ-ARDN,SILVER ERG,LOVE,,20,
VI-10292529,6/29/2026,6,2026,176630Y,2200-2218-1,14KT YG SCREWBACK EARRING BACK WITH 6.5MM PAD [L],2200-2218,TCI,1,12,70,15.75,54.25,VJ-VICTOR,TRAY,,,,
VF-10292698,6/29/2026,6,2026,224302-26,CMM 090 8L-4,"SILVER ""LINKNLOCK"" ROPE CHAIN",CMM 090 8L,COAR,1,210,840,240,600,VJ-FRE,SLVR CHAIN,LINKNLOCK,-,26,
PA-10001354,7/1/2026,7,2026,231622S,MV066-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE HOOPS",MV066-SL,VSU,1,126,299,0,299,VJ-PALM,EARRINGS,NOVELLO,UV,HOOPS,
VI-10292536,7/1/2026,7,2026,222746,NUGGET-G.HOOPS-5,10KT YELLOW-GOLD CZ ROUND NUGGET EARRINGS (NO WARRANTY),NUGGET-G.RING,SAF,1,130,650,397.13,252.87,VJ-VICTOR,GOLD HOOPS,GOLD JEWL,10KT,,
DB-10000007,7/1/2026,7,2026,237318Y,EVEBS025VK5W0-1,"10KT""UV-NOVELLO"" LABGROWN DIAMOND RBC SOLITIARE STUDS",EVEBS025VK5W0,HRSH,1,77,899,695.6,203.4,VJ-DEER,EARRINGS,NOVELLO,SOL STUDS,0.50 LESS,
