Department,Design,Class,Sub-Class,Item  #,Style  #,Vendor Model  #,Vendor  #,Item Desc,Store,Individual Cost Value,On-hand,Individual Selling Value,Image Dir.,AvgWeight,Create Date,Whole Cost
LADYS RING,NATURAL,SOL RING,0.99 LESS,130163,130163,EEME0.90,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-SOLANO,1535,1,16995,,0,2/23/2016,1931.25
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,164402,164402,LGERBC1.00,GG,"99100099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND RING",VJ-BAKER,1008,1,8999,,0,7/6/2023,1022.61
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,216976,216976,LGE+EME3.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ROSE,880,1,12995,,0,8/24/2024,1476.70
LADYS RING,NATURAL,SOL RING,0.75 LESS,135132,135132,SPC0.75,SPNL,"14KT""AGI-CERTIFIED""  PRINCESS SOLITAIRE RING",VJ-CULVER,1002,1,11995,,0,11/16/2016,1363.07
LADYS RING,NATURAL,SOL RING,0.75 LESS,156021,156021,S+RBC0.75,HRSH,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-CHAND,1135,1,12995,,0,3/1/2018,1476.70
PENDANT,NATURAL,SOL PNDT,1.00 CARAT,202157,202157,SRBC1.00,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE PENDANT",VJ-S.ROSA,1548,1,18995,\AGI\202157.webp,2.5,4/10/2023,2158.52
LADYS RING,NATURAL,SOL RING,3.00 CARAT,124138,124138,FPC3.25,AMT,"14KT""EGL-CERTIFIED"" SOLITAIRE RING",VJ-SOLANO,8300,1,91995,,0,6/13/2019,10453.98
LADYS RING,NOVELLO,SOL RING,1.50 CARAT,216871,216871,LGE+PEA1.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ROSE,454,1,5995,,0,8/24/2024,681.25
LADYS RING,NATURAL,SOL RING,1.00 CARAT,207131,207131,F+OVA1.00,DHRM,"14KT""AGI-CERTIFIED""  OVAL DIAMOND SOLITAIRE RING",DE-SOUTH,1098,1,13995,,0,9/22/2023,1590.34
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,212139,212139,LGE+RAD1.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-EAST,445,1,5995,,0,2/23/2024,681.25
LADYS RING,NATURAL,SOL RING,1.50 CARAT,122305,122305,F+RBC1.75,MDNI,"14KT""INT-CERTIFIED""  SOLITAIRE RING",MAIN,2000,1,27995,,0,9/29/2014,3181.25
LADYS RING,NATURAL,SOL RING,0.50 LESS,115983,115983,ERBC0.50,DVD,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-SOLANO,690,1,7599,,0,9/14/2020,863.52
LADYS RING,NATURAL,SOL RING,1.00 CARAT,127699,127699,SRBC1.00,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,1754,1,17995,,2.5,9/15/2015,2044.89
LADYS RING,NATURAL,SOL RING,0.50 LESS,151406,151406,EPC0.50,SPNL,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,585,1,5899,,0,9/14/2020,670.34
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214163,214163,LGE+OVA1.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-EAST,426,1,5995,,0,6/5/2024,681.25
LADYS RING,NATURAL,SOL RING,2.00 CARAT,126537,126537,ERBC2.00,YRSH,"14KT""INT-CERTIFIED""  SOLITAIRE RING",VJ-VIS,10200,1,119995,,0,6/20/2015,13635.80
LADYS RING,OVANI,,,162329,162329,R11-131831-COMP,NLSN,"18KT""OVANI-COLLECTION""  BRIDAL RING",MAIN,3854,1,42995,\162329.webp,0,12/19/2018,4885.80
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,185214,185214,LGEPC3.00,VSU,"99280099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-RENO,3563,1,17995,,0,7/5/2021,2044.89
LADYS RING,NOVELLO,SOL RING,1.50 CARAT,197764,197764,LGE+CU1.50,PRNY,"14KT""NOVELLO-COLLECTION""   IGI CERT LABGROWN CUSHION SOLITAIRE RING",VJ-PB,859,1,11995,,0,11/15/2022,1363.07
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,199324,199324,LGERAD2.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,675,1,9995,,0,12/31/2022,1135.80
LADYS RING,NATURAL,SOL RING,0.50 LESS,159189,159189,SPC0.50,SPNL,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,543,1,5999,,0,8/7/2018,681.70
LADYS RING,NATURAL,SOL RING,0.99 LESS,131047,131047,F+RBC1.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",DE-SOUTH,1752,1,20995,,0,4/13/2016,2385.80
LADYS RING,NATURAL,SOL RING,2.50 CARAT,174457,174457,EPEA2.50,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",DBC-GM,20108,1,221995,,0,9/11/2020,25226.70
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,180238,180238,LGE+RBC1.00,FLK,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-RENO,1290,1,8999,,1.5,12/31/2020,1022.61
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,216978,216978,LGE+EME3.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",DBC-GM,877,1,12995,,0,8/24/2024,1476.70
PENDANT,NOVELLO,SOL PNDT,1.00 CARAT,185143,185143,LGERBC1.00,VSU,"99120099""14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE PENDANT",VJ-SERRA,1109,1,9995,,2.5,7/5/2021,1135.80
LADYS RING,NATURAL,SOL RING,0.99 LESS,149950,149950,S+RBC0.90,GHVR,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-RENO,2563,1,28199,,0,9/11/2020,3204.43
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,214134,214134,LGE+RAD3.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",DE-SOUTH,956,1,13995,,0,5/30/2024,1590.34
LADYS RING,NATURAL,SOL RING,0.50 LESS,159110,159110,SRBC0.50,MHVR,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",DBC-STOCK,610,1,6799,,0,8/7/2018,772.61
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,191746,191746,LGS+RBC1.00,FLK,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-VIS,759,1,9995,,0,4/4/2022,1135.80
PENDANT,NOVELLO,SOL PNDT,1.00 CARAT,185049,185049,LGE+RBC1.00,VSU,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE PENDANT",MAIN,1188,1,10995,,1.5,7/5/2021,1249.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,175885,175885,LGSRBC1.00,FLK,"99100099""14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-VICTOR,691,1,6995,,2.5,9/4/2020,794.89
LADYS RING,NATURAL,SOL RING,0.50 LESS,110744,110744,S+PC0.50,MRS,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,750,1,8399,,0,10/1/2012,954.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,186704,186704,LGE+RBC1.00,FLK,"14KT""NOVELLO-COLLECTION""  GIA CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-DEER,1114,1,6995,,1.5,8/26/2021,794.89
LADYS RING,NATURAL,SOL RING,1.00 CARAT,135128,135128,FRBC1.00,SPNL,14KT.AGI CERTIFIED SOLITAIRE RING,DE-SOUTH,822,1,10995,,2.6,11/16/2016,1249.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214194,214194,LGE+RAD1.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SOLANO,418,1,5995,,0,9/5/2024,681.25
LADYS RING,NATURAL,SOL RING,2.50 CARAT,120825,120825,E+RBC3.00,FMT,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,23942,1,261995,,0,9/14/2020,29772.16
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,214040,214040,LGE+PEA3.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",DBC-STOCK,954,1,12995,,0,5/30/2024,1476.70
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,206053,206053,LGE+PEA1.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",DBC-STOCK,471,1,6099,,0,8/5/2023,693.07
LADYS RING,NATURAL,SOL RING,2.00 CARAT,115512,115512,SEME2.00,AMT/NLSN,"18KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,6891,1,79995,,0,9/14/2020,9090.34
LADYS RING,NATURAL,SOL RING,0.50 LESS,119179,119179,S+RBC0.40,TMR,"14KT""AGI-CERTIFIED""  ROUND SOLITAIRE RING",VJ-DEER,650,1,5999,,0,8/17/2020,681.70
LADYS RING,NATURAL,SOL RING,1.00 CARAT,187709,187709,S+PEA1.00,MDNI,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-INLND,1900,1,22995,,0,10/26/2021,2613.07
LADYS RING,NATURAL,SOL RING,1.50 CARAT,202107,202107,SPEA1.50,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-VAL,2758,1,30995,,0,4/10/2023,3522.16
LADYS RING,NATURAL,SOL RING,0.75 LESS,159158,159158,SRBC0.75,HRSH,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-LONG,1150,1,12499,,0,9/14/2020,1420.34
LADYS RING,NATURAL,SOL RING,1.00 CARAT,207445,207445,SRBC1.00,SPNL,"14KT""GIA-CERTIFIED""  RBC DIAMOND SOLITARE RING.",VJ-S.ANITA,1582,1,20995,,2.5,9/28/2023,2385.80
LADYS RING,NATURAL,SOL RING,0.99 LESS,133317,133317,SPC1.00,MDNI,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,1810,1,19995,,0,7/26/2016,2272.16
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,213614,213614,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,472,1,6995,,1.5,5/16/2024,794.89
PENDANT,NOVELLO,SOL PNDT,1.00 CARAT,198916,198916,LGE+RBC1.00,VSU,"14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND RBC SOLITAIRE PENDANT",VJ-CHAND,960,1,7999,\198916.webp,1.5,12/2/2022,908.98
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,191744,191744,LGS+RBC1.00,FLK,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ANITA,788,1,10995,,0,4/4/2022,1249.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,183119,183119,LGE+RBC1.00,AMPI,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,1179,1,10995,,1.5,4/20/2021,1249.43
LADYS RING,NATURAL,SOL RING,1.00 CARAT,163654,163654,SRBC1.00,HRSH,"14KT""AGI-CERTIFIED""  ROUND SOLITAIRE RING",MAIN,2200,1,25995,,2.5,2/26/2019,2953.98
PENDANT,NOVELLO,SOL PNDT,1.50 CARAT,169763,169763,LGERBC1.50,FLK,"14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN SOLITAIRE PENDANT",MAIN,1151,1,25995,,2.9,10/13/2019,2953.98
LADYS RING,NATURAL,SOL RING,0.50 LESS,115770,115770,EPC0.30,TMR,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,485,1,5399,,0,9/14/2020,613.52
BP,B STONE,JADE,BIRTHSTONE,132750,JADE-GREEN-1,JADE-GREEN,,18KT DIAMOND JADE PENDANT,MAIN,2080,1,24995,\132748.webp,0,6/23/2016,2840.34
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,179082,179082,LGERBC2.25,FLK,"99200099""14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ROSA,1376,1,12995,,0,11/30/2020,1476.70
